[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.003925s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --START--
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined variable: title cb82772ba8c20f4351e2788953e4a594.php 第 5 行.
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined index: cardPrice cb82772ba8c20f4351e2788953e4a594.php 第 72 行.
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | NOTIC: [8] Undefined index: validTimes cb82772ba8c20f4351e2788953e4a594.php 第 73 行.
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ParseTemplate Behavior [ RunTime:0.031455s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032261s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --START--
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ContentReplace Behavior [ RunTime:0.003027s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run TokenBuild Behavior [ RunTime:0.002127s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001612s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002434s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009996s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --START--
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001997s ]
[ 2019-07-29T08:39:33+08:00 ] /abcTest/admin.php/Leave/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002267s ]
[ 2019-07-29T08:41:08+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2019-07-29T08:41:08+08:00 ] /abcTest/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002665s ]
[ 2019-07-29T08:41:08+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002926s ]
[ 2019-07-29T08:41:08+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2019-07-29T08:41:08+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002163s ]
[ 2019-07-29T08:41:08+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002387s ]
