[ 2012-05-13T14:34:10+08:00 ] /SiaWeb/admin.php/Index/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001073s ]
[ 2012-05-13T14:34:10+08:00 ] /SiaWeb/admin.php/Index/index/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:34:10+08:00 ] /SiaWeb/admin.php/Index/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000613s ]
[ 2012-05-13T14:34:10+08:00 ] /SiaWeb/admin.php/Index/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000695s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001027s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001155s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000672s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000759s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ view_template ] --START--
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.000709s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000819s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ view_parse ] --START--
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.013224s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013333s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ view_filter ] --START--
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000539s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000721s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000334s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000616s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002443s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ view_end ] --START--
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000508s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000655s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/resources/images/closelabel.gif | ERR: (ThinkException) 无法加载模块resources
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001225s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001426s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000948s ]
[ 2012-05-13T14:34:36+08:00 ] /SiaWeb/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001105s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ route_check ] --START--
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Run CheckRoute Behavior [ RunTime:0.000769s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ route_check ] --END-- [ RunTime:0.000906s ]
[ 2012-05-13T14:34:40+08:00 ] /SiaWeb/admin.php/Index/index/username/siaweb | INFO: Tag[ app_begin ] --START--
