[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.039385s ]
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039806s ]
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.004013s ]
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.003912s ]
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002593s ]
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003677s ]
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015262s ]
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004438s ]
[ 2019-08-15T19:20:43+08:00 ] /abcTest/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004846s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ route_check ] --START--
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run CheckRoute Behavior [ RunTime:0.003759s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004191s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ app_begin ] --START--
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003446s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003841s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | NOTIC: [8] Undefined index: id CourseAction.class.php 第 4 行.
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | NOTIC: [8] Use of undefined constant Course - assumed 'Course' CourseAction.class.php 第 5 行.
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | SQL: SHOW COLUMNS FROM `t_course` [ RunTime:0.014301s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | SQL: SELECT `courseID`,`courseName`,`courseContent`,`courseTime`,`courseArea`,`courseTeacher`,`coursePrice` FROM `t_course` ORDER BY courseID asc  [ RunTime:0.001107s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | SQL: SELECT `courseContent` FROM `t_course` WHERE courseID='' LIMIT 1   [ RunTime:0.000709s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_template ] --START--
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004359s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004781s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_parse ] --START--
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | NOTIC: [8] Undefined variable: title 6f0ada55359106615047b4a70d624b08.php 第 5 行.
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ParseTemplate Behavior [ RunTime:0.048755s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.049195s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_filter ] --START--
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ContentReplace Behavior [ RunTime:0.003768s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run TokenBuild Behavior [ RunTime:0.003159s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002070s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ShowRuntime Behavior [ RunTime:0.003211s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013396s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_end ] --START--
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002717s ]
[ 2019-08-15T19:20:48+08:00 ] /abcTest/admin.php/Course/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003115s ]
[ 2019-08-15T19:21:25+08:00 ] /abcTest/admin.php/Course/add | INFO: Tag[ route_check ] --START--
[ 2019-08-15T19:21:25+08:00 ] /abcTest/admin.php/Course/add | INFO: Run CheckRoute Behavior [ RunTime:0.003609s ]
[ 2019-08-15T19:21:25+08:00 ] /abcTest/admin.php/Course/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.004045s ]
[ 2019-08-15T19:21:25+08:00 ] /abcTest/admin.php/Course/add | INFO: Tag[ app_begin ] --START--
[ 2019-08-15T19:21:25+08:00 ] /abcTest/admin.php/Course/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003108s ]
[ 2019-08-15T19:21:25+08:00 ] /abcTest/admin.php/Course/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003469s ]
[ 2019-08-15T19:21:25+08:00 ] /abcTest/admin.php/Course/add | NOTIC: [8] Use of undefined constant Course - assumed 'Course' CourseAction.class.php 第 25 行.
[ 2019-08-15T19:21:25+08:00 ] /abcTest/admin.php/Course/add | SQL: SHOW COLUMNS FROM `t_course` [ RunTime:0.020658s ]
